account_id,customer_id,branch_id,account_type,open_date,close_date,current_balance,interest_rate,overdraft_limit,status
ACC0000049,C000322,BR005,IRA,2019-10-07,,12361.86,4.65,0.0,Active
ACC0000050,C000383,BR033,Certificate of Deposit,2022-07-16,2023-09-25,0.0,5.9,0.0,Closed
ACC0000051,C000242,BR018,IRA,2023-01-31,,6893.22,2.71,0.0,Active
ACC0000052,C000242,BR006,Certificate of Deposit,2023-01-31,,35590.22,3.37,0.0,Active
ACC0000053,C000499,BR022,Certificate of Deposit,2023-04-03,2025-12-14,0.0,5.19,0.0,Closed
ACC0000054,C000123,BR023,Money Market,2010-10-07,,16175.3,2.53,0.0,Active
ACC0000055,C000002,BR016,Business Checking,2021-07-25,,4371.58,0.02,3988.1,Active
ACC0000056,C000297,BR032,Money Market,2020-07-27,,30963.34,2.27,0.0,Active
ACC0000057,C000062,BR030,Checking,2017-04-05,,10596.94,0.44,4727.75,Active
ACC0000058,C000103,BR034,IRA,2022-05-28,,8898.08,5.84,0.0,Active
ACC0000059,C000372,BR015,Money Market,2020-07-10,,24971.93,2.36,0.0,Active
ACC0000060,C000341,BR027,IRA,2021-12-01,,46063.19,2.59,0.0,Active
ACC0000061,C000031,BR004,Certificate of Deposit,2015-10-07,,2731.54,5.82,0.0,Active
ACC0000062,C000233,BR023,Business Checking,2021-11-26,,5.0,0.09,4526.72,Active
ACC0000063,C000202,BR031,Checking,2019-03-04,2022-11-03,0.0,0.37,3190.55,Closed
ACC0000064,C000080,BR032,Business Checking,2023-09-23,2025-12-14,0.0,0.68,4648.43,Closed
ACC0000065,C000187,BR011,Checking,2015-10-17,2025-12-14,0.0,0.35,898.22,Closed
ACC0000066,C000001,BR007,Business Checking,2020-09-07,,54071.97,0.07,1381.92,Active
ACC0000067,C000071,BR039,Checking,2022-10-08,,0.0,0.35,703.52,Active
ACC0000068,C000478,BR016,Business Checking,2023-04-01,,10647.76,0.32,1963.99,Active
ACC0000069,C000349,BR028,Money Market,2023-07-06,2025-12-14,0.0,3.38,0.0,Closed
ACC0000070,C000445,BR009,Business Checking,2023-12-23,,19502.91,0.84,2249.05,Active
ACC0000071,C000340,BR040,IRA,2022-12-24,,62840.98,3.66,0.0,Active
ACC0000072,C000308,BR004,Savings,2021-08-22,,11647.81,1.56,0.0,Active
ACC0000073,C000118,BR039,Savings,2012-06-01,2025-12-14,0.0,2.39,0.0,Closed
ACC0000074,C000327,BR018,Business Checking,2019-10-25,,47175.82,0.02,1721.07,Active
ACC0000075,C000446,BR022,Checking,2023-12-23,,3010.43,0.18,4229.32,Active
ACC0000076,C000453,BR021,Certificate of Deposit,2021-12-08,,65440.82,3.54,0.0,Active
ACC0000077,C000494,BR004,Savings,2022-08-17,,1264.08,2.06,0.0,Active
ACC0000078,C000146,BR015,IRA,2018-07-12,,703.18,2.34,0.0,Active
ACC0000079,C000473,BR008,Money Market,2021-06-02,,21619.78,2.62,0.0,Active
ACC0000080,C000325,BR020,Checking,2021-05-31,,4620.95,0.15,2105.39,Active
ACC0000081,C000465,BR006,Savings,2012-07-02,,749.39,2.75,0.0,Active
ACC0000082,C000284,BR020,IRA,2022-09-27,,4155.0,5.99,0.0,Active
ACC0000083,C000024,BR033,Money Market,2021-11-16,,30620.0,3.09,0.0,Active
ACC0000084,C000033,BR007,IRA,2022-12-24,,13112.37,4.01,0.0,Active
ACC0000085,C000146,BR026,Savings,2021-10-28,,1236.02,1.23,0.0,Active
ACC0000086,C000020,BR007,IRA,2019-05-17,,19801.09,4.38,0.0,Active
ACC0000087,C000390,BR022,Checking,2011-01-19,,5.0,0.4,1764.21,Active
ACC0000088,C000458,BR037,Checking,2021-10-18,,16045.52,0.41,2942.13,Active
ACC0000089,C000455,BR014,Savings,2021-10-13,,163.52,3.92,0.0,Active
ACC0000090,C000433,BR035,Checking,2021-12-23,,10688.27,0.43,1134.16,Active
ACC0000091,C000226,BR009,Savings,2021-11-06,2025-12-14,0.0,3.96,0.0,Closed
ACC0000092,C000466,BR024,Money Market,2019-02-16,,14315.48,3.51,0.0,Active
ACC0000093,C000430,BR010,Business Checking,2022-08-10,2024-08-02,0.0,0.81,4109.89,Closed
ACC0000094,C000330,BR002,Money Market,2019-06-04,,36875.04,4.07,0.0,Active
ACC0000095,C000114,BR025,Savings,2022-12-29,,13693.24,3.09,0.0,Active
ACC0000096,C000028,BR023,Certificate of Deposit,2023-11-29,2024-12-28,0.0,3.2,0.0,Closed
ACC0000097,C000324,BR021,Savings,2015-09-11,,8154.37,2.61,0.0,Active
ACC0000098,C000373,BR021,Business Checking,2017-03-22,,48453.43,0.28,835.48,Active
ACC0000099,C000009,BR011,Business Checking,2016-11-01,,16435.61,0.12,4940.99,Active
ACC0000100,C000020,BR012,Checking,2018-10-02,2023-06-14,0.0,0.46,3975.1,Closed
ACC0000101,C000166,BR013,IRA,2022-06-13,,1615.09,2.27,0.0,Active
ACC0000102,C000348,BR020,Savings,2022-12-21,,3302.15,1.93,0.0,Active
ACC0000103,C000497,BR004,IRA,2023-12-15,2025-12-14,0.0,5.0,0.0,Closed
ACC0000104,C000044,BR036,Savings,2021-11-30,,11605.51,3.44,0.0,Active
ACC0000105,C000300,BR033,IRA,2016-02-02,2025-12-14,0.0,2.84,0.0,Closed
ACC0000106,C000330,BR003,Checking,2019-12-01,,1329.16,0.26,1394.22,Active
ACC0000107,C000295,BR012,IRA,2023-07-16,,34098.81,5.59,0.0,Active
ACC0000108,C000425,BR034,Business Checking,2018-10-17,2025-12-14,0.0,0.7,524.85,Closed
ACC0000109,C000091,BR002,Savings,2017-10-03,,5.0,3.05,0.0,Active
ACC0000110,C000319,BR027,Money Market,2022-01-24,,18306.69,2.12,0.0,Active
ACC0000111,C000073,BR007,Money Market,2021-12-11,,12119.99,4.4,0.0,Active
ACC0000112,C000168,BR039,Checking,2018-05-30,2025-12-14,0.0,0.25,4169.58,Closed
ACC0000113,C000357,BR036,IRA,2022-06-03,,41182.07,2.82,0.0,Active
ACC0000114,C000214,BR013,Certificate of Deposit,2023-12-23,2025-12-14,0.0,5.22,0.0,Closed
ACC0000115,C000276,BR001,Savings,2021-02-27,,5132.58,1.49,0.0,Active
ACC0000116,C000324,BR040,Business Checking,2019-02-07,,3785.22,0.63,3680.86,Active
ACC0000117,C000083,BR038,IRA,2022-04-07,,56663.46,2.76,0.0,Active
ACC0000118,C000428,BR008,Checking,2022-11-04,,240.12,0.4,3780.53,Active
ACC0000119,C000204,BR008,Savings,2023-01-20,2025-12-14,0.0,3.73,0.0,Closed
ACC0000120,C000173,BR035,Savings,2023-04-25,2025-12-14,0.0,3.47,0.0,Closed
ACC0000121,C000106,BR001,IRA,2020-03-29,,44404.57,2.15,0.0,Active
ACC0000122,C000221,BR040,IRA,2021-03-22,,55395.23,3.89,0.0,Active
ACC0000123,C000297,BR011,IRA,2020-11-16,,55102.68,4.26,0.0,Active
ACC0000124,C000038,BR016,IRA,2021-07-31,,30513.18,2.26,0.0,Active
ACC0000125,C000348,BR009,Business Checking,2022-12-12,,24711.62,0.88,3970.72,Active
ACC0000126,C000092,BR013,Certificate of Deposit,2020-02-23,2025-12-14,0.0,4.72,0.0,Closed
ACC0000127,C000226,BR033,Savings,2020-01-18,2025-12-14,0.0,3.85,0.0,Closed
ACC0000128,C000385,BR029,Savings,2014-09-09,,78.91,3.18,0.0,Active
ACC0000129,C000359,BR024,Money Market,2023-12-12,,33050.07,3.88,0.0,Active
ACC0000130,C000350,BR015,Business Checking,2016-10-14,,28777.21,0.74,833.2,Active
ACC0000131,C000321,BR013,Money Market,2018-04-24,2023-04-22,0.0,2.25,0.0,Closed
ACC0000132,C000213,BR019,Savings,2021-12-28,2023-09-11,0.0,2.84,0.0,Closed
ACC0000133,C000296,BR006,Business Checking,2014-06-24,2025-12-14,0.0,0.8,2113.1,Closed
ACC0000134,C000299,BR039,Savings,2011-11-05,,346.44,2.25,0.0,Active
ACC0000135,C000214,BR020,Money Market,2023-12-23,2025-12-14,0.0,4.62,0.0,Closed
ACC0000136,C000282,BR011,Checking,2021-06-18,,12004.73,0.32,1021.41,Active
ACC0000137,C000412,BR013,IRA,2022-04-13,,20344.47,5.1,0.0,Active
ACC0000138,C000180,BR031,Money Market,2023-03-28,2025-12-14,0.0,4.76,0.0,Closed
ACC0000139,C000205,BR014,Certificate of Deposit,2019-01-20,,26916.04,5.53,0.0,Active
ACC0000140,C000486,BR033,Savings,2015-06-03,,727.64,3.8,0.0,Active
ACC0000141,C000011,BR040,Checking,2023-06-12,2025-12-14,0.0,0.35,4383.97,Closed
ACC0000142,C000120,BR025,Certificate of Deposit,2021-07-25,,64030.55,3.42,0.0,Active
ACC0000143,C000484,BR021,Savings,2023-08-14,2025-12-14,0.0,3.6,0.0,Closed
ACC0000144,C000444,BR038,IRA,2018-05-31,,19347.26,3.81,0.0,Active
ACC0000145,C000076,BR004,Checking,2021-11-24,,13851.74,0.4,3304.84,Active
ACC0000146,C000132,BR037,Business Checking,2020-05-07,,55277.15,0.28,1989.04,Active
ACC0000147,C000345,BR015,Business Checking,2017-10-10,2025-12-14,0.0,0.18,786.01,Closed
ACC0000148,C000274,BR039,Certificate of Deposit,2018-02-11,,64621.4,5.39,0.0,Active
ACC0000149,C000228,BR031,Business Checking,2016-03-13,2023-03-07,0.0,0.75,1899.42,Closed
ACC0000150,C000011,BR034,Savings,2023-06-12,2025-12-14,0.0,1.14,0.0,Closed
ACC0000151,C000236,BR038,Savings,2022-11-05,,65.73,1.08,0.0,Active
ACC0000152,C000233,BR026,Certificate of Deposit,2022-08-27,,71196.87,3.6,0.0,Active
ACC0000153,C000052,BR019,Checking,2017-06-29,,4163.68,0.45,1963.32,Active
ACC0000154,C000406,BR021,Certificate of Deposit,2021-11-03,,30194.27,3.49,0.0,Active
ACC0000155,C000264,BR031,IRA,2020-05-11,,66373.42,4.1,0.0,Active
ACC0000156,C000077,BR001,Business Checking,2022-02-02,,40426.03,0.81,3783.23,Active
ACC0000157,C000147,BR013,Savings,2018-10-04,,1523.11,2.13,0.0,Active
ACC0000158,C000157,BR017,Savings,2018-07-18,,570.35,3.43,0.0,Active
ACC0000159,C000342,BR004,Money Market,2021-11-21,,27713.48,2.18,0.0,Active
ACC0000160,C000153,BR025,Business Checking,2017-01-14,2022-04-11,0.0,0.99,3369.01,Closed
ACC0000161,C000396,BR031,Business Checking,2011-08-05,2025-12-14,0.0,0.41,4492.46,Closed
ACC0000162,C000325,BR021,Money Market,2017-03-10,,16685.31,2.83,0.0,Active
ACC0000163,C000495,BR006,Savings,2022-02-26,,8737.54,3.96,0.0,Active
ACC0000164,C000387,BR036,Certificate of Deposit,2019-12-21,2022-10-03,0.0,3.49,0.0,Closed
ACC0000165,C000500,BR031,Money Market,2017-12-28,,22380.18,4.42,0.0,Active
ACC0000166,C000005,BR033,Certificate of Deposit,2022-09-29,2025-12-14,0.0,5.44,0.0,Closed
ACC0000167,C000037,BR040,Checking,2013-10-17,,6636.82,0.17,2624.97,Active
ACC0000168,C000089,BR031,Certificate of Deposit,2014-07-29,2025-12-14,0.0,5.0,0.0,Closed
ACC0000169,C000222,BR025,IRA,2019-05-02,,24092.21,3.76,0.0,Active
ACC0000170,C000057,BR024,IRA,2022-05-01,,9718.17,3.6,0.0,Active
ACC0000171,C000322,BR002,Checking,2019-05-26,,13839.58,0.19,1038.17,Active
ACC0000172,C000191,BR034,Savings,2017-05-20,2025-12-14,0.0,1.45,0.0,Closed
ACC0000173,C000468,BR021,IRA,2022-07-23,,26309.32,4.24,0.0,Active
ACC0000174,C000004,BR040,Savings,2021-10-08,,1313.53,2.78,0.0,Active
ACC0000175,C000178,BR031,Money Market,2023-07-03,2024-04-21,0.0,4.24,0.0,Closed
ACC0000176,C000344,BR027,Money Market,2019-03-01,,19321.94,2.55,0.0,Active
ACC0000177,C000464,BR004,Checking,2022-12-28,,42.26,0.05,3709.6,Active
ACC0000178,C000374,BR011,Savings,2022-12-27,,78.96,2.14,0.0,Active
ACC0000179,C000270,BR031,Checking,2018-01-09,,5.0,0.29,3923.53,Active
ACC0000180,C000142,BR004,Business Checking,2017-11-07,,5.0,0.37,3025.75,Active
ACC0000181,C000356,BR006,Checking,2022-11-13,,851.8,0.02,3969.35,Active
ACC0000182,C000202,BR025,Business Checking,2019-08-25,,34865.25,0.78,2722.08,Active
ACC0000183,C000141,BR017,Certificate of Deposit,2016-05-17,2024-09-01,0.0,4.57,0.0,Closed
ACC0000184,C000039,BR023,Savings,2023-03-31,,3217.7,3.91,0.0,Active
ACC0000185,C000093,BR015,Certificate of Deposit,2022-08-27,2022-10-27,0.0,4.08,0.0,Closed
ACC0000186,C000408,BR030,Business Checking,2017-09-23,,21336.43,0.34,2852.3,Active
ACC0000187,C000246,BR034,IRA,2021-10-31,2025-12-14,0.0,2.62,0.0,Closed
ACC0000188,C000278,BR016,Certificate of Deposit,2022-01-27,,36836.07,5.63,0.0,Active
ACC0000189,C000496,BR007,Money Market,2020-03-02,,38421.79,2.63,0.0,Active
ACC0000190,C000443,BR014,Checking,2018-03-31,,1850.22,0.23,2423.93,Active
ACC0000191,C000233,BR008,IRA,2019-07-08,,33097.02,2.73,0.0,Active
ACC0000192,C000153,BR015,Checking,2022-05-03,2025-12-14,0.0,0.27,614.39,Closed
ACC0000193,C000082,BR014,IRA,2022-06-26,,60571.6,5.45,0.0,Active
ACC0000194,C000413,BR030,Certificate of Deposit,2017-01-24,,50402.21,4.18,0.0,Active
ACC0000195,C000011,BR020,Checking,2023-06-12,2025-12-14,0.0,0.14,985.51,Closed
ACC0000196,C000200,BR019,Money Market,2022-10-23,,30466.49,3.11,0.0,Active
ACC0000197,C000219,BR026,Money Market,2022-08-01,2025-12-14,0.0,3.45,0.0,Closed
ACC0000198,C000310,BR010,Money Market,2023-06-24,2025-12-14,0.0,3.85,0.0,Closed
ACC0000199,C000146,BR029,Certificate of Deposit,2020-08-27,,68131.75,5.45,0.0,Active
ACC0000200,C000234,BR001,IRA,2016-08-29,,43592.82,5.78,0.0,Active
ACC0000201,C000305,BR030,Checking,2022-11-17,,2123.21,0.3,641.43,Active
ACC0000202,C000240,BR019,Money Market,2014-12-08,2025-12-14,0.0,3.11,0.0,Closed
ACC0000203,C000116,BR019,IRA,2019-07-31,2025-12-14,0.0,3.49,0.0,Closed
ACC0000204,C000427,BR020,Money Market,2023-12-23,2025-07-26,0.0,3.39,0.0,Closed
ACC0000205,C000064,BR032,IRA,2021-02-15,,1544.02,3.08,0.0,Active
ACC0000206,C000009,BR010,Money Market,2020-08-08,,13333.18,4.24,0.0,Active
ACC0000207,C000106,BR036,Money Market,2019-10-08,,36660.09,2.11,0.0,Active
ACC0000208,C000127,BR026,Checking,2014-09-16,2023-11-04,0.0,0.02,3363.85,Closed
ACC0000209,C000194,BR011,Business Checking,2023-10-12,2024-04-28,0.0,0.93,1914.6,Closed
ACC0000210,C000086,BR025,Certificate of Deposit,2022-06-09,,88390.83,4.32,0.0,Active
ACC0000211,C000194,BR014,Certificate of Deposit,2023-10-12,,37026.75,4.13,0.0,Active
ACC0000212,C000398,BR030,Business Checking,2018-01-03,2025-12-14,0.0,0.86,2788.57,Closed
ACC0000213,C000001,BR036,Money Market,2022-06-20,,1143.42,2.76,0.0,Active
ACC0000214,C000292,BR031,Savings,2012-10-20,,15722.36,3.53,0.0,Active
ACC0000215,C000493,BR018,Checking,2018-11-25,,5.0,0.02,4584.05,Active
ACC0000216,C000424,BR036,Checking,2022-09-30,,11964.13,0.41,1621.82,Active
ACC0000217,C000397,BR030,Savings,2022-11-16,,22380.37,3.51,0.0,Active
ACC0000218,C000229,BR027,Checking,2022-12-24,,10105.92,0.18,2346.72,Active
ACC0000219,C000056,BR005,IRA,2021-11-28,,39057.78,4.58,0.0,Active
ACC0000220,C000493,BR014,IRA,2014-08-10,,73127.81,3.63,0.0,Active
ACC0000221,C000298,BR008,Money Market,2019-02-28,2025-12-14,0.0,4.14,0.0,Closed
ACC0000222,C000113,BR022,Checking,2015-04-14,2025-12-14,0.0,0.06,3899.98,Closed
ACC0000223,C000198,BR006,Certificate of Deposit,2022-12-06,2025-12-14,0.0,4.39,0.0,Closed
ACC0000224,C000448,BR028,Checking,2020-03-08,,276.51,0.26,1529.59,Active
ACC0000225,C000050,BR011,IRA,2022-12-28,,7151.49,2.1,0.0,Active
ACC0000226,C000390,BR009,IRA,2018-02-17,,926.69,2.62,0.0,Active
ACC0000227,C000259,BR034,IRA,2018-01-29,,52105.68,4.86,0.0,Active
ACC0000228,C000272,BR020,Checking,2022-06-20,,1150.44,0.38,846.41,Active
ACC0000229,C000100,BR040,Savings,2018-09-05,2025-12-14,0.0,2.41,0.0,Closed
ACC0000230,C000487,BR008,Business Checking,2018-09-04,2024-04-08,0.0,0.43,1803.88,Closed
ACC0000231,C000068,BR023,Checking,2022-02-16,,4134.47,0.11,1225.5,Active
ACC0000232,C000114,BR027,Business Checking,2022-09-03,,11057.48,0.75,4683.64,Active
ACC0000233,C000070,BR035,Certificate of Deposit,2022-10-04,,53834.26,3.9,0.0,Active
ACC0000234,C000352,BR004,Money Market,2022-10-29,,21.86,4.69,0.0,Active
ACC0000235,C000175,BR019,Certificate of Deposit,2022-08-25,2024-10-24,0.0,5.24,0.0,Closed
ACC0000236,C000326,BR017,Checking,2019-05-18,,1140.88,0.31,4136.54,Active
ACC0000237,C000363,BR023,Business Checking,2019-11-30,,66213.07,0.75,3350.32,Active
ACC0000238,C000313,BR033,Certificate of Deposit,2015-11-06,2025-12-14,0.0,4.51,0.0,Closed
ACC0000239,C000321,BR009,Savings,2018-05-21,,1012.89,2.24,0.0,Active
ACC0000240,C000467,BR001,IRA,2020-03-19,2025-12-14,0.0,4.64,0.0,Closed
ACC0000241,C000306,BR008,Checking,2019-03-01,2022-12-11,0.0,0.04,4421.57,Closed
ACC0000242,C000370,BR032,Checking,2021-12-04,2025-12-14,0.0,0.03,4116.52,Closed
ACC0000243,C000028,BR018,Money Market,2023-11-29,,2788.24,3.54,0.0,Active
ACC0000244,C000459,BR023,IRA,2021-03-08,,11571.25,2.11,0.0,Active
ACC0000245,C000345,BR006,Checking,2021-11-08,2022-08-19,0.0,0.27,1339.57,Closed
ACC0000246,C000377,BR034,Savings,2020-11-05,,7382.09,1.82,0.0,Active
ACC0000247,C000433,BR022,Business Checking,2022-02-08,,41766.65,0.1,4516.52,Active
ACC0000248,C000400,BR008,Money Market,2020-12-30,,4032.62,3.6,0.0,Active
ACC0000249,C000421,BR026,Checking,2022-12-07,,427.95,0.27,2927.04,Active
ACC0000250,C000147,BR005,Business Checking,2016-04-04,,26285.72,0.9,4133.48,Active
ACC0000251,C000449,BR001,Business Checking,2021-06-02,,23558.02,0.51,4532.41,Active
ACC0000252,C000450,BR019,Checking,2018-11-21,,3514.53,0.32,1931.02,Active
ACC0000253,C000456,BR015,IRA,2013-08-19,,71822.32,2.89,0.0,Active
ACC0000254,C000258,BR033,Business Checking,2020-07-11,2025-12-14,0.0,0.83,995.23,Closed
ACC0000255,C000099,BR035,Money Market,2013-09-27,,2703.89,2.32,0.0,Active
ACC0000256,C000324,BR021,Money Market,2021-09-09,2023-07-29,0.0,3.34,0.0,Closed
ACC0000257,C000357,BR015,Savings,2018-12-28,,128.51,1.17,0.0,Active
ACC0000258,C000025,BR021,IRA,2019-04-29,,20137.09,2.92,0.0,Active
ACC0000259,C000038,BR040,Savings,2022-03-18,,24730.95,3.59,0.0,Active
ACC0000260,C000092,BR015,Savings,2021-09-16,2024-04-07,0.0,3.44,0.0,Closed
ACC0000261,C000294,BR040,Certificate of Deposit,2021-02-22,,10608.48,3.7,0.0,Active
ACC0000262,C000268,BR021,Checking,2016-05-18,,0.0,0.36,1525.71,Active
ACC0000263,C000391,BR032,Business Checking,2023-06-12,,495.6,0.32,2421.99,Active
ACC0000264,C000454,BR019,Certificate of Deposit,2019-06-03,,45565.63,5.7,0.0,Active
ACC0000265,C000008,BR033,IRA,2020-06-24,2025-12-14,0.0,4.69,0.0,Closed
ACC0000266,C000145,BR004,IRA,2023-06-21,,50805.99,2.08,0.0,Active
ACC0000267,C000286,BR013,IRA,2023-12-23,,15576.1,2.42,0.0,Active
ACC0000268,C000205,BR004,IRA,2019-08-23,,45889.69,5.2,0.0,Active
ACC0000269,C000500,BR011,Certificate of Deposit,2022-03-23,,789.84,4.15,0.0,Active
ACC0000270,C000162,BR036,Money Market,2022-08-14,,31751.88,3.6,0.0,Active
ACC0000271,C000040,BR029,IRA,2012-03-25,2025-12-14,0.0,2.71,0.0,Closed
ACC0000272,C000219,BR028,IRA,2022-05-11,2025-12-14,0.0,4.61,0.0,Closed
ACC0000273,C000226,BR035,Money Market,2020-08-24,2025-12-14,0.0,2.73,0.0,Closed
ACC0000274,C000275,BR017,Checking,2017-02-07,,4523.13,0.49,4181.07,Active
ACC0000275,C000406,BR032,Certificate of Deposit,2021-08-12,,68089.28,4.63,0.0,Active
ACC0000276,C000198,BR035,Business Checking,2021-12-18,2025-12-14,0.0,0.9,4373.29,Closed
ACC0000277,C000250,BR034,Savings,2023-08-01,,22113.86,4.0,0.0,Active
ACC0000278,C000209,BR027,Savings,2022-10-20,,19457.8,3.99,0.0,Active
ACC0000279,C000156,BR027,Savings,2020-07-12,2025-12-14,0.0,2.67,0.0,Closed
ACC0000280,C000026,BR040,Money Market,2022-12-19,2025-12-14,0.0,2.81,0.0,Closed
ACC0000281,C000182,BR017,Savings,2017-02-13,2022-06-30,0.0,3.31,0.0,Closed
ACC0000282,C000482,BR020,Savings,2021-12-29,,5.0,3.83,0.0,Active
ACC0000283,C000500,BR030,IRA,2017-01-07,,18462.57,2.95,0.0,Active
ACC0000284,C000455,BR027,IRA,2022-09-30,2024-08-28,0.0,2.4,0.0,Closed
ACC0000285,C000339,BR034,Business Checking,2017-10-13,,42994.17,0.39,531.28,Active
ACC0000286,C000060,BR037,Savings,2013-01-21,,5.0,3.55,0.0,Active
ACC0000287,C000084,BR025,Checking,2022-09-10,2025-12-14,0.0,0.26,2798.36,Closed
ACC0000288,C000155,BR002,Certificate of Deposit,2015-07-15,2022-02-26,0.0,5.72,0.0,Closed
ACC0000289,C000213,BR005,Money Market,2021-05-30,2025-12-14,0.0,3.13,0.0,Closed
ACC0000290,C000116,BR036,IRA,2019-03-13,2025-12-14,0.0,2.97,0.0,Closed
ACC0000291,C000394,BR020,Money Market,2017-07-10,,802.28,2.06,0.0,Active
ACC0000292,C000146,BR004,Certificate of Deposit,2019-04-14,,8010.76,4.87,0.0,Active
ACC0000293,C000203,BR020,Business Checking,2023-12-23,,39990.42,0.01,2378.35,Active
ACC0000294,C000027,BR028,Business Checking,2018-09-09,2025-12-14,0.0,0.91,1499.49,Closed
ACC0000295,C000303,BR029,Savings,2016-06-25,,13536.04,1.74,0.0,Active
ACC0000296,C000312,BR027,IRA,2020-03-19,,32298.85,4.89,0.0,Active
ACC0000297,C000048,BR007,Savings,2015-06-07,2025-12-14,0.0,2.35,0.0,Closed
ACC0000298,C000069,BR016,Money Market,2021-01-01,,11919.56,2.97,0.0,Active
ACC0000299,C000345,BR037,Business Checking,2020-02-07,2025-12-14,0.0,0.09,1039.39,Closed
ACC0000300,C000264,BR017,Business Checking,2016-03-25,,21708.76,0.32,2019.27,Active
